brand,variant,price,location,year,discount
KIA,Picanto 1.2 SE 3 Hatchback,Rp 83.000.000,,2013,no
Mazda,CX-5 2.5 Touring SUV,Rp 310.000.000,,2014,no
Honda,Freed 1.5 1.5 MPV - PSD,Rp 155.000.000,,2010,no
Suzuki,Swift 1.4 GS Hatchback,Rp 122.000.000,,2015,no
Mitsubishi,Mirage 1.2 Sedan,Rp 125.000.000,,2014,no
Toyota,Rush 1.5 TRD Sportivo SUV,Rp 205.000.000,,2015,no
Toyota,Kijang Innova 2.0 Q MPV - Reborn AT KM6800,Rp 349.000.000,,2016,no
Chevrolet,Zafira 1.8 CD MPV,Rp 97.500.000,,2003,no
Honda,CR-V 2.0 2 SUV,Rp 298.000.000,,2014,no
Suzuki,Ertiga 1.4 GX MPV,Rp 190.000.000,,2016,no
Toyota,Corolla 1.6 Sedan,Rp 37.000.000,,1990,no
Toyota,Agya 1.2 TRD Hatchback - manual Siap Pakai Lebaran,Rp 144.000.000,,2017,no
